"시점","자치구별(1)",자치구별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"시점","자치구별(1)",자치구별(2),소계,소계,살인,살인,강도,강도,강간·강제추행,강간·강제추행,절도,절도,폭력,폭력
"시점","자치구별(1)",자치구별(2),발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거
"2019","합계",소계,103668,74805,136,128,136,133,6469,6007,42204,21284,54723,47253
"2019","합계",종로구,3846,4117,4,5,7,8,238,1143,1515,1069,2082,1892
"2019","합계",중구,4327,2804,2,1,6,5,195,115,2202,1050,1922,1633
"2019","합계",용산구,3313,2611,3,3,3,4,272,237,999,544,2036,1823
"2019","합계",성동구,2512,1838,6,5,9,10,133,96,970,511,1394,1216
"2019","합계",광진구,4011,2816,4,5,6,5,273,213,1875,1008,1853,1585
"2019","합계",동대문구,3692,2818,6,6,10,9,168,143,1531,827,1977,1833
"2019","합계",중랑구,4268,3138,10,10,4,5,138,108,1666,908,2450,2107
"2019","합계",성북구,2877,2323,3,3,3,3,176,130,1082,731,1613,1456
"2019","합계",강북구,3838,3023,6,6,3,2,176,145,1229,664,2424,2206
"2019","합계",도봉구,2110,1497,1,1,5,5,90,83,790,394,1224,1014
"2019","합계",노원구,4153,2964,4,4,3,3,184,158,1498,681,2464,2118
"2019","합계",은평구,3880,3000,3,3,1,1,194,162,1565,977,2117,1857
"2019","합계",서대문구,2943,2020,2,1,5,5,175,154,1226,600,1535,1260
"2019","합계",마포구,4842,3170,2,2,2,2,495,417,2190,917,2153,1832
"2019","합계",양천구,3214,2124,6,6,2,2,127,112,1477,634,1602,1370
"2019","합계",강서구,4924,3543,8,9,3,4,306,257,2050,1077,2557,2196
"2019","합계",구로구,4707,3291,10,9,3,4,226,165,1916,965,2552,2148
"2019","합계",금천구,3105,2343,6,6,10,6,153,126,1157,615,1779,1590
"2019","합계",영등포구,5820,3787,10,10,3,3,356,239,2409,1068,3042,2467
"2019","합계",동작구,3400,2195,4,2,1,1,251,110,1328,579,1816,1503
"2019","합계",관악구,5328,3810,13,10,10,11,408,335,2223,1085,2674,2369
"2019","합계",서초구,5542,3750,5,5,7,5,616,412,2270,1118,2644,2210
"2019","합계",강남구,7304,5069,5,3,5,6,666,562,2970,1339,3658,3159
"2019","합계",송파구,5698,3799,7,8,10,10,273,230,2416,1016,2992,2535
"2019","합계",강동구,4014,2955,6,5,15,14,180,155,1650,907,2163,1874
"2020","합계",소계,92679,66548,141,126,138,132,5763,5458,38293,19705,48344,41127
"2020","합계",종로구,3102,3343,9,7,7,9,192,855,1183,944,1711,1528
"2020","합계",중구,3411,2323,2,2,5,6,186,128,1642,863,1576,1324
"2020","합계",용산구,2969,2056,5,3,6,6,230,186,1111,534,1617,1327
"2020","합계",성동구,2362,1774,5,5,3,3,115,98,1016,565,1223,1103
"2020","합계",광진구,3601,2511,2,2,4,4,255,224,1664,874,1676,1407
"2020","합계",동대문구,3401,2465,10,8,6,5,161,142,1440,713,1784,1597
"2020","합계",중랑구,3726,2781,10,9,5,6,183,153,1506,889,2022,1724
"2020","합계",성북구,2567,1947,4,4,3,2,142,121,988,580,1430,1240
"2020","합계",강북구,2770,2259,9,8,5,4,159,132,780,490,1817,1625
"2020","합계",도봉구,2179,1490,-,-,2,2,82,87,861,379,1234,1022
"2020","합계",노원구,3743,2581,4,3,3,3,169,148,1404,646,2163,1781
"2020","합계",은평구,3390,2531,4,4,4,3,171,145,1371,756,1840,1623
"2020","합계",서대문구,2533,1706,3,3,2,1,159,149,1077,524,1292,1029
"2020","합계",마포구,3688,2534,9,8,4,3,348,287,1483,679,1844,1557
"2020","합계",양천구,3216,2086,5,5,3,3,109,90,1517,718,1582,1270
"2020","합계",강서구,4415,3393,10,9,6,5,265,222,1689,1070,2445,2087
"2020","합계",구로구,4175,2984,6,6,5,5,197,142,1763,1008,2204,1823
"2020","합계",금천구,2598,1966,4,4,7,6,117,93,999,553,1471,1310
"2020","합계",영등포구,5217,3371,7,4,6,5,315,252,2188,953,2701,2157
"2020","합계",동작구,3200,2086,1,1,1,2,226,121,1341,592,1631,1370
"2020","합계",관악구,5261,3858,12,12,3,3,403,351,2229,1137,2614,2355
"2020","합계",서초구,4601,3052,5,5,6,4,396,303,2021,960,2173,1780
"2020","합계",강남구,7356,5245,6,5,14,11,708,627,2951,1491,3677,3111
"2020","합계",송파구,5410,3544,6,6,13,17,287,235,2429,1006,2675,2280
"2020","합계",강동구,3788,2662,3,3,15,14,188,167,1640,781,1942,1697
"2021","합계",소계,80445,58012,124,112,122,116,4911,4446,33531,17950,41757,35388
"2021","합계",종로구,2712,2755,6,3,4,4,156,757,1079,743,1467,1248
"2021","합계",중구,2861,2072,6,6,6,6,161,97,1279,739,1409,1224
